Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake Elbow	Cook	Tofte	516	382	23	7	Minnesota	US
Lake Elbow	Otter Tail	Battle Lake	189	80	46	24	Minnesota	US
Lake Elbow	Pine	Finlayson	103	73	33	5	Minnesota	US
Lake Elbow	St. Louis	Orr	1659	664	60	6	Minnesota	US
Lake Elbow	St. Louis	Iron Junction	165	130	22	9	Minnesota	US
Lake Elephant	St. Louis	Orr	742	331	30	2.8	Minnesota	US
Lake Eleven	Kanabec	Kroschel	290	290	13	3.2	Minnesota	US
Lake Eleven	Pine	Sturgeon Lake	109	69	49	7	Minnesota	US
Lake Eleventh Crow Wing	Hubbard	Akeley	790	169	80	14	Minnesota	US
Lake Elizabeth	Kandiyohi	Atwater	1054	1054	9	4	Minnesota	US
Lake Elk	Clearwater	Lake Itasca	271	73	93	13.7	Minnesota	US
Lake Elk	Grant	Hoffman	190	97	29	6.5	Minnesota	US
Lake Elk (Big)	Sherburne	Clear Lake	360	360	9	1.9	Minnesota	US
Lake Elk (Little)	Sherburne	Zimmerman	353	353	15	2.5	Minnesota	US
Lake Elliot	St. Louis	Eveleth	398	398	13	10	Minnesota	US
Lake Elm Island	Aitkin	Aitkin	522	389	25	n/a	Minnesota	US
Lake Elmo	Washington	Lake Elmo	206	44	140	14	Minnesota	US
Lake Elora	St. Louis	Cotton	296	110	35	9.7	Minnesota	US
Lake Ely	St. Louis	Eveleth	673	225	70	15	Minnesota	US
Lake Elysian	Waseca	Elysian	1902	1902	13	N/A	Minnesota	US
Lake Embarrass	St. Louis	Biwabik	442	407	19	5	Minnesota	US
Lake Emily	Crow Wing	Emily	664	664	13	6	Minnesota	US
Lake Emily	Lesueur	St.Peter	235	165	37	2	Minnesota	US
Lake Emily	Pope	Hancock	2377	2377	7	1.5	Minnesota	US
Lake Emma	Wright	Howard Lake	177	177	17	9	Minnesota	US
Lake Esquagama	St. Louis	Biwabik	366	82	90	8	Minnesota	US
Lake Esquagamah	Aitkin	Palisade	853	520	31	4	Minnesota	US
Lake Ethel	Otter Tail	Ottertail	194	69	64	14	Minnesota	US
Lake Eunice	Becker	Audubon	325	187	30	14.8	Minnesota	US
Lake Everett	St. Louis	Ely	109	109	15	8	Minnesota	US
