Place	County	Nearby Town	Size(acres)	Littoral zone(acres)	Max depth(ft)	Water Clarity(ft)	State	Country
Lake White Swan	Itasca	Bigfork	158	119	19	10	Minnesota	US
Lake Whiteface	St. Louis	Markham	5600	4480	35	5.1	Minnesota	US
Lake Whitefish	Crow Wing	Cross Lake	7370	2713	138	9	Minnesota	US
Lake Whitefish	Crow Wing	Garrison	696	428	62	13.5	Minnesota	US
Lake Whitefish	Itasca	Wirt	563	261	51	8	Minnesota	US
Lake Whitefish	Lake	Tofte	339	191	49	22	Minnesota	US
Lake Whitefish	Polk	Fosston	226	183	18	3.8	Minnesota	US
Lake Whitewater	St. Louis	Hoyt Lakes	1210	564	73	12	Minnesota	US
Lake Wilkins	Aitkin	Palisade	372	106	39	n/a	Minnesota	US
Lake Wilson	Lake	Schroeder	622	229.5	53	17	Minnesota	US
Lake Wilson	Murray	Lake Wilson	170	170	8	1.8	Minnesota	US
Lake Wimar	Otter Tail	Frazee	275	107	58	7	Minnesota	US
Lake Winchester	St. Louis	Orr	360	54	50	7.5	Minnesota	US
Lake Windigo	Beltrami	Bemidji	199	129	15	6	Minnesota	US
Lake Windy	Lake	Isabella	450	199	39	7.5	Minnesota	US
Lake Winnibigoshish	Cass	Deer River	58544	18904	70	n/a	Minnesota	US
Lake Winona	Winona	Winona	UNK	UNK	UNK	UNK	Minnesota	US
Lake Winsted	McLeod	Winsted	376	376	12	2.1	Minnesota	US
Lake Wirth	Hennepin	Golden Valley	38	23	25	3.5	Minnesota	US
Lake Wolf	Becker	Wolf Lake	1445	1445	16	N/A	Minnesota	US
Lake Wolf	Meeker	Dassel	259	259	11	3	Minnesota	US
Lake Wolf	St. Louis	Ely	299	145	28	10.5	Minnesota	US
Lake Woman	Cass	Longville	4782	1953	54	7	Minnesota	US
Lake Wood	Lyon	Russell	367	367	14	7	Minnesota	US
Lake Wood	Yellow Medicine	Wood Lake	432	432	9	2.75	Minnesota	US
Lake Worm	Grant	Elbow Lake	345	345	5	2	Minnesota	US
Lake Yankton	Lyon	Balaton	387	387	8	N/A	Minnesota	US
Lake Zumbra	Carver	Victoria	162	89	58	7.25	Minnesota	US
