name,place,county,state,country
Lake Elm Island, Aitkin, Aitkin, Minnesota, US
Lake Elmo, Washington, Lake Elmo, Minnesota, US
Lake Elora, St. Louis, Cotton, Minnesota, US
Lake Ely, St. Louis, Eveleth, Minnesota, US
Lake Elysian, Waseca, Elysian, Minnesota, US
Lake Embarrass, St. Louis, Biwabik, Minnesota, US
Lake Emily, Crow Wing, Emily, Minnesota, US
Lake Emily, Lesueur, St.Peter, Minnesota, US
Lake Emily, Pope, Hancock, Minnesota, US
Lake Emma, Wright, Howard Lake, Minnesota, US
Lake Esquagama, St. Louis, Biwabik, Minnesota, US
Lake Esquagamah, Aitkin, Palisade, Minnesota, US
Lake Ethel, Otter Tail, Ottertail, Minnesota, US
Lake Eunice, Becker, Audubon, Minnesota, US
Lake Everett, St. Louis, Ely, Minnesota, US
Lake Evergreen, Hubbard, Lake George, Minnesota, US
Lake Fairy, Todd, Sauk Centre, Minnesota, US
Lake Fall, Lake, Winton, Minnesota, US
Lake Fannie, Isanti, Cambridge, Minnesota, US
Lake Farm, Lake, Ely, Minnesota, US
Lake Farm Island, Aitkin, Bennettville, Minnesota, US
Lake Fenske, St. Louis, Ely, Minnesota, US
Lake Fifteen, Clay, Hawley, Minnesota, US
Lake Fifth Crow Wing, Hubbard, Nevis, Minnesota, US
Lake First Crow Wing, Hubbard, Hubbard, Minnesota, US
Lake First Fulda, Murray, Fulda, Minnesota, US
Lake Fish, Chisago, Harris, Minnesota, US
Lake Fish, Hennepin, Maple Grove, Minnesota, US
Lake Fish, Jackson, Windom, Minnesota, US
Lake Fish, Otter Tail, Parkers Prairie, Minnesota, US
Lake Fish, Otter Tail, Pelican Rapids, Minnesota, US
Lake Fish, Otter Tail, Fergus Falls, Minnesota, US
Lake Fish, Scott, Prior Lake, Minnesota, US
Lake Fishhook, Hubbard, Park Rapids, Minnesota, US
Lake Fiske, Otter Tail, Battle Lake, Minnesota, US
Lake Five, Otter Tail, Vergas, Minnesota, US
Lake Five Island(Ball), Itasca, Effie, Minnesota, US
Lake Five Point, Cass, Hackensack, Minnesota, US
Lake Fleming, Aitkin, Palisade, Minnesota, US
Lake Floodwood, St. Louis, Goodland, Minnesota, US
Lake Florida, Kandiyohi, Spicer, Minnesota, US
Lake Flowage, Aitkin, McGregor, Minnesota, US
Lake Floyd, Becker, Detroit Lakes, Minnesota, US
Lake Foot, Kandiyohi, Willmar, Minnesota, US
Lake Forest Lake, Washington, Forest Lake, Minnesota, US
Lake Forget-Me-Not, Becker, Lake Park, Minnesota, US
Lake Fountain, Freeborn, Albert Lea, Minnesota, US
Lake Four Mile, Cook, Tofte, Minnesota, US
Lake Fox, Itasca, Marcell, Minnesota, US
Lake Fox, Murray, Currie, Minnesota, US
Lake Fox, Pine, Willow River, Minnesota, US
Lake Fox, Rice, Shieldsville, Minnesota, US
Lake Fox (East), Crow Wing, Fifty Lakes, Minnesota, US
Lake Fox (West), Crow Wing, Fifty Lakes, Minnesota, US
Lake Frances, Lesueur, Elysian, Minnesota, US
Lake Francis, Isanti, Isanti, Minnesota, US
Lake Francis, Meeker, Kingston, Minnesota, US
Lake Franklin, Otter Tail, Pelican Rapids, Minnesota, US
Lake Franklin, St. Louis, Crane Lake, Minnesota, US
Lake Freeborn, Douglas, Farwell, Minnesota, US
Lake Freeborn, Freeborn, Freeborn, Minnesota, US
Lake Fremont, Sherburne, Zimmerman, Minnesota, US
Lake French, Rice, Faribault, Minnesota, US
Lake French, Wright, Annanndale, Minnesota, US
Lake Frontenac, Hubbard, Becida, Minnesota, US
Lake Games, Kandiyohi, Sunburg, Minnesota, US
Lake Garden, Lake, Ely, Minnesota, US
Lake Garfield, Hubbard, Laporte, Minnesota, US
Lake Gegoka, Lake, Isabella, Minnesota, US
Lake Geneva, Douglas, Alexandria, Minnesota, US
Lake Geneva, Freeborn, Geneva, Minnesota, US
Lake George, Anoka, St Francis, Minnesota, US
Lake George, Cass, Outing, Minnesota, US
Lake George, Hubbard, Lake George, Minnesota, US
Lake George, Kandiyohi, Spicer, Minnesota, US
Lake German, Lesueur, Elysian, Minnesota, US
Lake Gervais, Ramsey, Little Canada, Minnesota, US
Lake Gilbert, Crow Wing, Brainerd, Minnesota, US
Lake Gilbert, Douglas, Holmes City, Minnesota, US
Lake Gilchrist, Pope, Sedan, Minnesota, US
Lake Gilfillian, Ramsey, White Bear Lake, Minnesota, US
Lake Gilstad, Beltrami, Blackduck, Minnesota, US
Lake Girl, Cass, Longville, Minnesota, US
Lake Golden, Anoka, Circle Pines, Minnesota, US
Lake Goose, Chisago, Stark, Minnesota, US
Lake Goose, Goodhue, Red Wing, Minnesota, US
Lake Goose Prairie, Clay, Hitterdahl, Minnesota, US
Lake Gorman, Lesueur, Le Center, Minnesota, US
Lake Grace, Hubbard, Bemidji, Minnesota, US
Lake Graham, Otter Tail, Frazee, Minnesota, US
Lake Grand, St. Louis, Twig, Minnesota, US
Lake Grand, Stearns, Cold Spring, Minnesota, US
Lake Granite, Wright, Annanndale, Minnesota, US
Lake Grant, Beltrami, Wilton, Minnesota, US
Lake Grassy, St. Louis, Ely, Minnesota, US
Lake Grave, Itasca, Marcell, Minnesota, US
Lake Great Northern, Stearns, Cold Spring, Minnesota, US
Lake Green, Chisago, Chisago City, Minnesota, US
Lake Green, Isanti, Princeton, Minnesota, US
Lake Green, Kandiyohi, Spicer, Minnesota, US
Lake Greenleaf, Lesueur, Montgomery, Minnesota, US
Lake Greenleaf, Meeker, Litchfield, Minnesota, US
Lake Greenstone, Lake, Ely, Minnesota, US
Lake Greenwood, Cook, Grand Marais, Minnesota, US
Lake Greenwood, Lake, Isabella, Minnesota, US
Lake Grindstone, Pine, Sandstone, Minnesota, US
Lake Grove, Pope, Sedan, Minnesota, US
Lake Gun, Aitkin, Palisade, Minnesota, US
Lake Gunderson, Itasca, Talmoon, Minnesota, US
Lake Gull, Cass, Nisswa, Minnesota, US
Lake Gunn, Itasca, Marcell, Minnesota, US
Lake Half Moon, St. Louis, Eveleth, Minnesota, US
Lake Ham, Anoka, Ham Lake, Minnesota, US
Lake Ham, Anoka, Blaine, Minnesota, US
Lake Hammal, Aitkin, Aitkin, Minnesota, US
Lake Hancock, Otter Tail, Battle Lake, Minnesota, US
Lake Hand, Cass, BackUS Minnesota, US
Lake Hanging Horn, Carlton, Barnum, Minnesota, US
Lake Hanging Kettle, Aitkin, Aitkin, Minnesota, US
Lake Hanska, Brown, Hanska, Minnesota, US
Lake Harriet, Hennepin, Minneapolis, Minnesota, US
Lake Harriet, Lake, Isabella, Minnesota, US
Lake Hart, Hubbard, Guthrie, Minnesota, US
Lake Hart, Itasca, Pengilly, Minnesota, US
Lake Hartley, Itasca, Nashwauk, Minnesota, US
Lake Hatch, Itasca, Marcell, Minnesota, US
Lake Hattie, Hubbard, Lake George, Minnesota, US
Lake Hattie, Stevens, Alberta, Minnesota, US
Lake Hawks Nest, Lincoln, Ivanhoe, Minnesota, US
Lake Hay, Carlton, Wrenshal, Minnesota, US
Lake Hay, Cass, BackUS Minnesota, US
Lake Hay (Lower), Crow Wing, Jenkins, Minnesota, US
Lake Hay (Upper), Crow Wing, Jenkins, Minnesota, US
Lake Head, Otter Tail, Richville, Minnesota, US
Lake Heart, Clearwater, Zerkel, Minnesota, US
Lake Height of Land, Becker, Detroit Lakes, Minnesota, US
Lake Heilberger, Otter Tail, Erhard, Minnesota, US
Lake Henderson, Kandyohi, Spicer, Minnesota, US
Lake Hendricks, Lincoln, Hendricks, Minnesota, US
Lake Hennepin, Hubbard, Becida, Minnesota, US
Lake Heron, Jackson, Lakefield, Minnesota, US
Lake Hiawatha, Hennepin, Minneapolis, Minnesota, US
Lake Hill, Aitkin, Hill City, Minnesota, US
Lake Hinds, Hubbard, Park Rapids, Minnesota, US
Lake Holloway (Bass), Itasca, Wirt, Minnesota, US
Lake Holman, Itasca, Bovey, Minnesota, US
Lake Home, Norman, Ada, Minnesota, US
Lake Homer, Cook, Lutsen, Minnesota, US
Lake Hook, McLeod, Hutchinson, Minnesota, US
Lake Hope, Meeker, Grove City, Minnesota, US
Lake Horsehoe, Cass, BackUS Minnesota, US
Lake Horseshoe, Chisago, Harris, Minnesota, US
